vessel_name,start_date,end_date
자항선1,240604,240611
자항선1,240621,240629
자항선1,240704,240712
자항선1,240717,240725
자항선1,240814,240822
자항선1,240829,240906
자항선1,240914,240922
자항선1,241024,241101
자항선1,241114,241122
자항선1,241212,241220
자항선1,241227,250104
자항선1,250116,250124
자항선1,250206,250214
자항선1,250302,250310
자항선1,250317,250325
자항선1,250401,250409
자항선1,250415,250423
자항선1,250430,250508
자항선1,250611,250619
자항선2,240607,240611
자항선2,240623,240627
자항선2,240713,240718
자항선2,240826,240831
자항선3,240606,240613
자항선3,240626,240701
자항선3,240705,240709
자항선3,240716,240722
자항선3,240806,240812
자항선3,240816,240822
자항선3,240830,240905
자항선3,240921,240927
자항선3,241004,241011
자항선3,241127,241204
자항선3,241217,241224
자항선3,250121,250128
자항선3,250211,250218
자항선3,250225,250304
자항선3,250311,250318
자항선3,250326,250401
자항선3,250405,250411
자항선3,250415,250423
자항선3,250429,250507
자항선4,240605,240610
자항선4,240615,240620
자항선4,240626,240702
자항선4,240707,240713
자항선4,240718,240725
자항선4,240810,240817
자항선4,240821,240827
자항선4,240831,240906
자항선4,240910,240916
자항선4,240919,240926
자항선4,241009,241015
자항선4,241020,241027
자항선4,241114,241121
자항선4,241218,241224
자항선4,250109,250116
자항선4,250129,250205
자항선4,250209,250215
자항선4,250219,250226
자항선4,250301,250308
자항선4,250312,250318
자항선4,250322,250328
자항선4,250409,250415
자항선5,240605,240610
자항선5,240614,240619
자항선5,240626,240702
자항선5,240710,240716
자항선5,240720,240727
자항선5,240807,240812
자항선5,240825,240831
자항선5,240918,240924
자항선5,241003,241009
자항선5,241022,241028
자항선5,241213,241220
자항선5,250114,250121
자항선5,250124,250131
